 value | value | time   
-------+-------+----------------------------        
 27.47 | 28.37 | 2018-09-12 8 25 7.668716
 27.54 | 28.39 | 2018-09-12 8 26 7.713436
 27.5 | 28.4 | 2018-09-12 8 27 7.783405
 27.46 | 28.39 | 2018-09-12 8 28 7.848165
 27.49 | 28.39 | 2018-09-12 8 29 7.933012
 27.51 | 28.37 | 2018-09-12 8 30 8.009692
 27.5 | 28.38 | 2018-09-12 8 31 8.06447
 27.5 | 28.4 | 2018-09-12 8 32 8.143991
 27.48 | 28.38 | 2018-09-12 8 33 8.211558
 27.51 | 28.4 | 2018-09-12 8 34 8.270611
 27.5 | 28.39 | 2018-09-12 8 35 8.35879
 27.5 | 28.39 | 2018-09-12 8 36 8.421788
 27.52 | 28.38 | 2018-09-12 8 37 8.482357
 27.44 | 28.38 | 2018-09-12 8 38 8.563607
 27.46 | 28.4 | 2018-09-12 8 39 8.643983
 27.45 | 28.37 | 2018-09-12 8 40 8.70191
 27.47 | 28.39 | 2018-09-12 8 41 8.764877
 27.5 | 28.41 | 2018-09-12 8 42 8.851904
 27.49 | 28.41 | 2018-09-12 8 43 8.914127
 27.45 | 28.41 | 2018-09-12 8 44 8.994688
 27.49 | 28.39 | 2018-09-12 8 45 9.076896
 27.52 | 28.39 | 2018-09-12 8 46 9.136298
 27.49 | 28.38 | 2018-09-12 8 47 9.21334
 27.47 | 28.39 | 2018-09-12 8 48 9.289456
 27.48 | 28.38 | 2018-09-12 8 49 9.347005
 27.44 | 28.39 | 2018-09-12 8 50 9.418724
 27.47 | 28.39 | 2018-09-12 8 51 9.487603
 27.45 | 28.39 | 2018-09-12 8 52 9.539912
 27.49 | 28.4 | 2018-09-12 8 53 9.621365
 27.47 | 28.38 | 2018-09-12 8 54 9.707612
 27.49 | 28.38 | 2018-09-12 8 55 9.772277
 27.47 | 28.37 | 2018-09-12 8 56 9.841104
 27.46 | 28.38 | 2018-09-12 8 57 9.921869
 27.5 | 28.4 | 2018-09-12 8 58 9.976641
 27.5 | 28.39 | 2018-09-12 8 59 10.052288
 27.51 | 28.39 | 2018-09-12 9 0 10.128746
 27.5 | 28.38 | 2018-09-12 9 1 10.183734
 27.5 | 28.38 | 2018-09-12 9 2 10.268421
 27.52 | 28.38 | 2018-09-12 9 3 10.343102
 27.5 | 28.38 | 2018-09-12 9 4 10.414594
 27.46 | 28.38 | 2018-09-12 9 5 10.491377
 27.46 | 28.39 | 2018-09-12 9 6 10.55782
 27.44 | 28.37 | 2018-09-12 9 7 10.608912
 27.48 | 28.38 | 2018-09-12 9 8 10.691056
 27.51 | 28.4 | 2018-09-12 9 9 10.76792
 27.45 | 28.38 | 2018-09-12 9 10 10.826355
 27.48 | 28.38 | 2018-09-12 9 11 10.892081
 27.53 | 28.39 | 2018-09-12 9 12 10.968619
 27.5 | 28.37 | 2018-09-12 9 13 11.018055
 27.51 | 28.39 | 2018-09-12 9 14 11.095297
 27.49 | 28.39 | 2018-09-12 9 15 11.175651
 27.54 | 28.4 | 2018-09-12 9 16 11.231626
 27.5 | 28.39 | 2018-09-12 9 17 11.304445
 27.52 | 28.39 | 2018-09-12 9 18 11.375857
 27.47 | 28.37 | 2018-09-12 9 19 11.433314
 27.45 | 28.38 | 2018-09-12 9 20 11.503058
 27.45 | 28.38 | 2018-09-12 9 21 11.563313
 27.49 | 28.41 | 2018-09-12 9 22 11.628846
 27.49 | 28.4 | 2018-09-12 9 23 11.699562
 27.45 | 28.39 | 2018-09-12 9 24 11.77485
 27.45 | 28.37 | 2018-09-12 9 25 11.830865
 27.47 | 28.37 | 2018-09-12 9 26 11.894959
 27.44 | 28.4 | 2018-09-12 9 27 11.97033
 27.45 | 28.39 | 2018-09-12 9 28 12.029134
 27.45 | 28.42 | 2018-09-12 9 29 12.108112
 27.5 | 28.39 | 2018-09-12 9 30 12.186741
 27.44 | 28.37 | 2018-09-12 9 31 12.23879
 27.46 | 28.36 | 2018-09-12 9 32 12.32
 27.5 | 28.37 | 2018-09-12 9 33 12.3891
 27.48 | 28.38 | 2018-09-12 9 34 12.44912
 27.48 | 28.36 | 2018-09-12 9 35 12.526423
 27.45 | 28.39 | 2018-09-12 9 36 12.586404
 27.44 | 28.37 | 2018-09-12 9 37 12.640571
 27.46 | 28.4 | 2018-09-12 9 38 12.71352
 27.51 | 28.39 | 2018-09-12 9 39 12.789191
 27.49 | 28.38 | 2018-09-12 9 40 12.845475
 27.5 | 28.4 | 2018-09-12 9 41 12.904692
 27.5 | 28.4 | 2018-09-12 9 42 12.985743
 27.51 | 28.38 | 2018-09-12 9 43 13.042291
 27.48 | 28.37 | 2018-09-12 9 44 13.117151
 27.49 | 28.37 | 2018-09-12 9 45 13.182246
 27.46 | 28.39 | 2018-09-12 9 46 13.230462
 27.48 | 28.37 | 2018-09-12 9 47 13.311437
 27.46 | 28.37 | 2018-09-12 9 48 13.388889
 27.5 | 28.36 | 2018-09-12 9 49 13.405938
 27.51 | 28.36 | 2018-09-12 9 50 13.469501
 27.45 | 28.38 | 2018-09-12 9 51 13.526022
 27.45 | 28.39 | 2018-09-12 9 52 13.582427
 27.46 | 28.38 | 2018-09-12 9 53 13.650917
 27.47 | 28.37 | 2018-09-12 9 54 13.719108
 27.51 | 28.36 | 2018-09-12 9 55 13.776407
 27.48 | 28.36 | 2018-09-12 9 56 13.841279
 27.49 | 28.37 | 2018-09-12 9 57 13.906402
 27.48 | 28.38 | 2018-09-12 9 58 13.963792
 27.48 | 28.35 | 2018-09-12 9 59 14.033506
 27.46 | 28.36 | 2018-09-12 10 0 14.089316
 27.46 | 28.38 | 2018-09-12 10 1 14.143797
 27.46 | 28.36 | 2018-09-12 10 2 14.206473
 27.48 | 28.35 | 2018-09-12 10 3 14.268122
 27.46 | 28.38 | 2018-09-12 10 4 14.328757
 27.44 | 28.37 | 2018-09-12 10 5 14.388104
 27.45 | 28.38 | 2018-09-12 10 6 14.441446
 27.44 | 28.37 | 2018-09-12 10 7 14.496544
 27.43 | 28.37 | 2018-09-12 10 8 14.554668
 27.41 | 28.36 | 2018-09-12 10 9 14.602947
 27.42 | 28.37 | 2018-09-12 10 10 14.655435
 27.44 | 28.36 | 2018-09-12 10 11 14.718705
 27.47 | 28.36 | 2018-09-12 10 12 14.783092
 27.45 | 28.37 | 2018-09-12 10 13 14.831269
 27.42 | 28.37 | 2018-09-12 10 14 14.890771
 27.45 | 28.36 | 2018-09-12 10 15 14.960299
 27.47 | 28.37 | 2018-09-12 10 16 15.013599
 27.42 | 28.37 | 2018-09-12 10 17 15.075742
 27.44 | 28.36 | 2018-09-12 10 18 15.137287
 27.45 | 28.35 | 2018-09-12 10 19 15.189708
 27.41 | 28.34 | 2018-09-12 10 20 15.261847
 27.46 | 28.36 | 2018-09-12 10 21 15.31411
 27.42 | 28.36 | 2018-09-12 10 22 15.36629
 27.44 | 28.36 | 2018-09-12 10 23 15.431913
 27.43 | 28.38 | 2018-09-12 10 24 15.497206
 27.43 | 28.38 | 2018-09-12 10 25 15.546644
 27.43 | 28.36 | 2018-09-12 10 26 15.604783
 27.4 | 28.36 | 2018-09-12 10 27 15.662915
 27.41 | 28.37 | 2018-09-12 10 28 15.715274
 27.45 | 28.37 | 2018-09-12 10 29 15.779964
 27.46 | 28.37 | 2018-09-12 10 30 15.850286
 27.48 | 28.37 | 2018-09-12 10 31 15.904571
 27.49 | 28.35 | 2018-09-12 10 32 15.969207
 27.43 | 28.36 | 2018-09-12 10 33 16.033155
 27.44 | 28.35 | 2018-09-12 10 34 16.090216
 27.43 | 28.38 | 2018-09-12 10 35 16.157006
 27.44 | 28.35 | 2018-09-12 10 36 16.215243
 27.44 | 28.35 | 2018-09-12 10 37 16.265885
 27.44 | 28.34 | 2018-09-12 10 38 16.32879
 27.42 | 28.33 | 2018-09-12 10 39 16.391416
 27.42 | 28.35 | 2018-09-12 10 40 16.451102
 27.43 | 28.35 | 2018-09-12 10 41 16.511682
 27.44 | 28.34 | 2018-09-12 10 42 16.572801
 27.43 | 28.36 | 2018-09-12 10 43 16.629559
 27.45 | 28.33 | 2018-09-12 10 44 16.696735
 27.41 | 28.37 | 2018-09-12 10 45 16.75041
 27.37 | 28.35 | 2018-09-12 10 46 16.8097
 27.36 | 28.39 | 2018-09-12 10 47 16.873865
 27.41 | 28.35 | 2018-09-12 10 48 16.937134
 27.34 | 28.36 | 2018-09-12 10 49 16.99257
 27.34 | 28.37 | 2018-09-12 10 50 17.049421
 27.4 | 28.35 | 2018-09-12 10 51 17.107181
 27.37 | 28.35 | 2018-09-12 10 52 17.156602
 27.4 | 28.35 | 2018-09-12 10 53 17.21549
 27.37 | 28.37 | 2018-09-12 10 54 17.276696
 27.36 | 28.37 | 2018-09-12 10 55 17.335873
 27.39 | 28.35 | 2018-09-12 10 56 17.394706
 27.39 | 28.36 | 2018-09-12 10 57 17.452982
 27.4 | 28.37 | 2018-09-12 10 58 17.511671
 27.42 | 28.33 | 2018-09-12 10 59 17.573197
 27.42 | 28.34 | 2018-09-12 11 0 17.638293
 27.38 | 28.34 | 2018-09-12 11 1 17.690535
 27.36 | 28.33 | 2018-09-12 11 2 17.758242
 27.36 | 28.33 | 2018-09-12 11 3 17.819931
 27.44 | 28.34 | 2018-09-12 11 4 17.875355
