time Hut Table
0 26.87 29.45
1.0003940667 26.88 29.45
2.0015265667 26.87 29.45
3.0025644833 26.88 29.45
4.0028630667 26.87 29.45
5.00352495 26.87 29.44
6.0038935833 26.87 29.45
7.0046098 26.89 29.45
8.0053994333 26.89 29.44
9.0054355333 26.9 29.44
10.0065648333 26.9 29.45
11.0074599667 26.91 29.47
12.0092215167 26.88 29.46
13.0102649667 26.9 29.46
13.4066663333 26.91 29.46
14.4069122 26.91 29.47
14.8870229333 26.91 29.46
15.8871451 26.91 29.47
16.88881755 26.92 29.47
17.8893024667 26.93 29.48
18.8899748667 26.91 29.47
19.8905443 26.91 29.47
20.8917567167 26.91 29.45
21.8932727333 26.92 29.47
22.8942177333 26.92 29.47
23.8950538667 26.91 29.47
24.8957482167 26.92 29.49
25.8963820167 26.92 29.47
26.8973980167 26.92 29.48
27.89794225 26.94 29.47
28.899247 26.94 29.49
29.9006521167 26.94 29.49
30.90222305 26.93 29.48
31.9023341333 26.92 29.49
32.9032272667 26.92 29.48
33.9041147333 26.92 29.49
34.9056034833 26.92 29.49
35.9061763667 26.92 29.48
36.9074240333 26.92 29.48
37.9086966333 26.94 29.47
38.90964155 26.92 29.47
39.9111009833 26.93 29.48
40.9126128 26.93 29.48
41.9137214667 26.95 29.49
42.9147986667 26.93 29.48
43.9153993167 26.93 29.5
44.9159912167 26.93 29.51
45.9168202667 26.95 29.5
46.9183572833 26.95 29.5
47.9188584167 26.94 29.5
48.9199328167 26.93 29.49
49.9209838 26.95 29.49
50.9210945333 26.94 29.5
51.9212083 26.96 29.5
52.9220883833 26.97 29.5
53.9227073 26.95 29.51
54.9232127833 26.95 29.51
55.92350165 26.95 29.52
56.9247286333 26.96 29.53
57.9247821667 26.97 29.51
58.9260922333 26.96 29.5
59.9275293 26.96 29.52
60.9277539667 26.96 29.51
61.9291229 26.96 29.52
62.9291652833 26.96 29.52
63.9306251 26.97 29.5
63.9961308 26.97 29.51
64.9962317333 26.98 29.53
65.9966265667 26.98 29.52
66.9969259833 26.97 29.52
67.9976575 26.97 29.53
68.99829555 26.97 29.53
69.7514655833 26.98 29.54
70.75258345 26.97 29.53
71.7540824 26.98 29.52
72.7562040167 26.98 29.53
73.7640588167 26.98 29.53
74.7750873 26.98 29.53
75.7766194 26.98 29.53
